 课程名 授课教师 通过制/百分制 点名/签到 最终得分 我的评价 平时任务 期末考核 开课单位
   百分制/绩点制 每次都点名 90-94/4.0 老师平易近人，好好练不是很难 上课练球 正反手各三十个 体育部
   百分制/绩点制 点名 85-89/3.5-3.9 简单易上手，轻松不心累。老师很幽默 简单 正反手攻球各三十个，教学比赛，难度简单 体育部
   百分制/绩点制 点名 未出分 适合零基础，老师人特别好 简单 三十个正手，三十个反手 体育部
   百分制/绩点制 点名 80-84/3.0-3.4 内容充实，老师比较幽默，上课多为分组练习，体验很好 难度不大，平时课上主要练习考试内容 老师亲自为每组的考核任务计数，基本不占用课下时间练习 体育部
  杜晶 百分制/绩点制 每节课点名 95+ 老师人非常好，很耐心 先教基础，然后用发球机或者自己练 反手正手各三十个 体育部
   百分制/绩点制 点名，能请假 85-89/3.5-3.9 打打球挺有意思 没有 乒乓球正反手三十次对打，还打一次比赛 体育部
   百分制/绩点制 点名 90-94/4.0 老师很温柔很有趣，能学到很多乒乓球的初级打法 每节课会讲一个知识点，大部分时间都在练习，很有趣很简单，课后不用练 正反手各30回合，很简单就能满分 体育部
   百分制/绩点制 每节课点名 75以下/2.5以下 学习正反手接发球和乒乓球比赛基本规则，老师很温柔，给分普遍比较高 零基础的同学如果想取得一个比较好的成绩最好需要课下练习 正反手接发球各30回合，比较考察配合 体育部
  李亮 百分制/绩点制 两节课点一次 85-89/3.5-3.9 任务难度很大，最后考核有很多人得分不是很好 几乎没有，但是最后有一个比赛 很难，最好有基础 体育部
   百分制/绩点制 有 未出分 老师给分很严，会扣技术分,授课内容：乒乓球 无 30正手30反手 体育部
  宁津 百分制/绩点制 每节课点名 95+ 对于有一点基础的同学很轻松，没有基础的同学稍加练习也能满分  正手反手球各30个，单双打比赛，赢了有加分 体育部
   百分制/绩点制 扫码签到 85-89/3.5-3.9 很好 无 和别人拉球，横竖拍各30个，只要队友正常点都能满分。慢慢打都没事。平时上课没啥压力。挺简单 体育部
   百分制/绩点制 点名，三次 90-94/4.0 老师很专业，推荐有基础的选，平常练习和两次比赛   体育部
   百分制/绩点制 几乎每节课都点名 未出分 学习乒乓球最基本的正手反手对攻。 倒数第4节课有一场单打比赛，参加即可得到5分，获胜者可加分。最后一节课有一场双打比赛，获胜组也可加分。 正手反手分别对攻30板即可基本得满分，难度较低，但是只有3次机会，不能重测或补考。 体育部
   百分制/绩点制 每节课点 80-84/3.0-3.4 课堂轻松，老师好 任务轻松，建议有基础的选 正反手两项连续三十个 体育部
   百分制/绩点制 每次点名 75-79/2.5-2.9 乒乓球基本正反手动作 无 正手攻球和反手攻球30个,没接触过会有难度 体育部
 跆拳道初级 李兰忠 百分制/绩点制 有点名 90-94/4.0 老师很好，给分高，难度还可以，动作做不好也没什么，但会玩游戏啥的，会有点尴尬 无 腿法组合，挺好过 体育部
   百分制/绩点制 基本上每节课都点名 85-89/3.5-3.9 老师教的很好，平时也不会很累，需要买跆拳道服，动作不会很难 就是课上练练 考踢平时学的腿法，但给分41-43居多，很少满分 体育部
   百分制/绩点制 点名 未出分 基本腿法组合，老师很有耐心，自行练习，过程中有问题找老师问就可 基本不占用课下时间，掌握要领课上练习不难 和同伴像练习一样踢就可以 体育部
  张惠欣 百分制/绩点制 见习可以,但不去要扣分,见习的话老师讲完新知识点就会让你先走 90-94/4.0 老师真的讲的很好！而且热身还可以做游戏 给分也不错 专项都是40+ 体育部
   百分制/绩点制 点名水不了 85-89/3.5-3.9 老师人非常好，很好说话，上课热身活动很好玩，但是给分一般吧 就踢踢靶，上课练习足够 中位靶和高位靶，课外不要练习 体育部
 太极拳 曹红娟 百分制/绩点制 点名 未出分 还可以 无 小组展示 体育部
   百分制/绩点制 每节课点名 85-89/3.5-3.9 新学的动作老师会示范指导，但是大多数时间里全靠b站跟视频自学 还行，就是大学生太极拳，但是上课之前会玩很久的抓人游戏，差不多能占一节课的多半时间，挺累的 打太极拳 体育部
 体育舞蹈（拉丁舞） 刘慧青 百分制/绩点制 每节课都点名，缺勤会扣分 未出分 老师身体原因不会过多自己演示，需要抱大腿 期末的时候编舞排练，其他没有 编舞展示，强烈建议一定要抱大腿，尤其是有拉丁舞基础的，直接带飞！ 体育部
   百分制/绩点制 每节课课前点名 90-94/4.0 老师很有气质，建议有基础的选择，或者在第一节课就找好大腿 期末展示可能需要课下排练 小组形式比赛，可能需要课下排练，按比赛排名给分，但总体都比较高 体育部
  颜丽丽 百分制/绩点制 几乎每节课都点名 90-94/4.0 拉丁舞本身有一定难度，但老师要求不高，只要基本ok都能给到44.45分 无 伦巴单人铜牌套路、课上跟着跳就可以，也可以来课后辅导，难度中等，主要老师会捞 体育部
 体育舞蹈（标准舞） 刘慧青 百分制/绩点制 点名，每节课都点名，在群里请假老师可能看了会忘，一定要找同组同学帮忙在点名的时候说一下，上课迟到了也跟老师说来了，不然记旷课 90-94/4.0 要买老师要求标准的衣服和鞋子，每节课学的东西不多但是需要记住舞蹈动作的套路，期末考试是分组自己编舞+排练，最后跟老师教的所有班一起比赛，分为初赛+决赛，进决赛的组专项分在92+，未进决赛的组专项在90+，分组最好跟熟悉的、看上去会跳舞的一组，不然小组排练很难熬，且人多+男生多对小组排舞有益（老师说的），不过人过多也会造成舞蹈不整齐。   体育部
   百分制/绩点制 课上点名 85-89/3.5-3.9 一些基础舞步，老师人不错 零舞蹈基础也可以接受，课下可能需要回忆下上课学的，没作业大概 小组比赛结课，结课比较晚，期末要花一些时间练习 体育部
  颜丽丽 百分制/绩点制 每节课都会点名 90-94/4.0 老师人很好！虽然课程对我这个舞蹈小白有难度,双人舞的形式建议和朋友一起上,挺好玩的 对零基础小白肯定有点难度，需要课后练习 45分课程表现分,老师给分特别好,跳舞可以跳很多次,打分会越来越高 体育部
   百分制/绩点制 点名 未出分 学的华尔兹竞赛铜牌，老师比较负责严格，需要课下练习。女生多，男生学的话舞伴不太好找 正常上课，不建议节奏感不好的人学，但是对于喜欢舞蹈的很合适。需要买衣服鞋子 跳老师规定的一套，考两次，专项最差都能给到43以上 体育部
   百分制/绩点制 点名 95+ 前面教基本动作，后面教表演套路，老师教的很认真，体验感挺好 平时没任务，就期末一次考核，几乎不占业余时间 跳一支舞，难度比平常教的还低一些，考前有两三次课练习，节奏跟上了分数就不会低 体育部
   百分制/绩点制 课前整队点名 80-84/3.0-3.4 老师很好，很耐心尤其是对为数不多的男生 上课认真练不需要课下复习，期末考前如果希望分数好一些的话要和搭档一起练 专项内容主要是最后练习的那个成套动作跳两遍，两节课各有一次机会，大部分人都在扣2分以内，有满分。其余考核同其他体育课。 体育部
